name,field_media_description,field_media_file,nothing,Keywords,Audience,"Document Type"
"FEMA 356, Prestandard and Commentary for the Seismic Rehabilitation of Buildings","This publication supersedes FEMA 273 and 274 and converts these publications into mandatory prestandard language. This Prestandard serves as a nationally applicable tool for design professionals, code officials, and building owners undertaking the seismic rehabilitation of existing buildings. The publication contains two parts.The Provisions include technical requirements for seismic rehabilitation. The Commentary explains the Provisions. Chapters include requirements; analysis procedures; foundations and geologic site hazards; steel; concrete; masonry; wood and light metal framing; seismic isolation and energy dissipation; simplified rehabilitation; architectural, mechanical, and electrical components; and use of this Prestandard for risk mitigation programs. (Please note that FEMA 356 has been superseded by American Society of Civil Engineers [ASCE] 41, Seismic Rehabilitation of Buildings.)","Download File","FEMA 356, Prestandard and Commentary for the Seismic Rehabilitation of Buildings
    This publication supersedes FEMA 273 and 274 and converts these publications into mandatory prestandard language. This Prestandard serves as a nationally applicable tool for design professionals, code officials, and building owners undertaking the seismic rehabilitation of existing buildings. The publication contains two parts.The Provisions include technical requirements for seismic rehabilitation. The Commentary explains the Provisions. Chapters include requirements; analysis procedures; foundations and geologic site hazards; steel; concrete; masonry; wood and light metal framing; seismic isolation and energy dissipation; simplified rehabilitation; architectural, mechanical, and electrical components; and use of this Prestandard for risk mitigation programs. (Please note that FEMA 356 has been superseded by American Society of Civil Engineers [ASCE] 41, Seismic Rehabilitation of Buildings.)
    
      
        May 11, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 357,Global Topics Report on the Prestandard and Commentary for the Seismic Rehabilitation of Buildings","This report provides a narrative discussion and record of the technical changes made to the NEHRP Guidelines for the Seismic Rehabilitation of Buildings (FEMA 273) to develop the Prestandard and Commentary for the Seismic Rehabilitation of Buildings (FEMA 356). Included is a brief discussion of new concepts introduced to the engineering profession in the original Guidelines and Commentary (FEMA 274).","Download File","FEMA 357,Global Topics Report on the Prestandard and Commentary for the Seismic Rehabilitation of Buildings
    This report provides a narrative discussion and record of the technical changes made to the NEHRP Guidelines for the Seismic Rehabilitation of Buildings (FEMA 273) to develop the Prestandard and Commentary for the Seismic Rehabilitation of Buildings (FEMA 356). Included is a brief discussion of new concepts introduced to the engineering profession in the original Guidelines and Commentary (FEMA 274).

    
      
        May 11, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 369, NEHRP 2000 Commentary for Seismic Regulations for New Buildings and Other Structures Updated Version Available","The Commentary provides general requirements, background information, and explanations for applying the analysis and design criteria in FEMA 368, similar to what might be incorporated in a code as administrative regulations.","Download File","FEMA 369, NEHRP 2000 Commentary for Seismic Regulations for New Buildings and Other Structures Updated Version Available
    The Commentary provides general requirements, background information, and explanations for applying the analysis and design criteria in FEMA 368, similar to what might be incorporated in a code as administrative regulations.
    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 395, Incremental Seismic Rehabilitation of School Buildings (K-12): Providing Protection to People and Buildings (2003)","This publication was developed to provide school administrators with the information necessary to assess the seismic vulnerability of their buildings, and to implement a program of incremental seismic rehabilitation for those buildings.","Download File","FEMA 395, Incremental Seismic Rehabilitation of School Buildings (K-12): Providing Protection to People and Buildings (2003)
    This publication was developed to provide school administrators with the information necessary to assess the seismic vulnerability of their buildings, and to implement a program of incremental seismic rehabilitation for those buildings.
    
      
        Sep 2, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 396, Incremental Seismic Rehabilitation of Hospital Buildings : Providing Protection to People and Buildings","This manual provides healthcare organizations with the information necessary to assess the seismic vulnerability of their buildings and to implement a program of incremental seismic rehabilitation for those buildings.","Download File","FEMA 396, Incremental Seismic Rehabilitation of Hospital Buildings : Providing Protection to People and Buildings
    This manual provides healthcare organizations with the information necessary to assess the seismic vulnerability of their buildings and to implement a program of incremental seismic rehabilitation for those buildings.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 413, Installing Seismic Restraints for Electrical Equipment","This guide provides equipment installers with information on how to attach electrical equipment to buildings to minimize earthquake damage. Many examples of attachments are presented, including anchors and seismic restraints. An electrical danger instruction chart and safety requirements and codes are included.","Download File","FEMA 413, Installing Seismic Restraints for Electrical Equipment
    This guide provides equipment installers with information on how to attach electrical equipment to buildings to minimize earthquake damage. Many examples of attachments are presented, including anchors and seismic restraints. An electrical danger instruction chart and safety requirements and codes are included.

    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 439B, Blast-Resistant Benefits of Seismic Design, Phase 2 Study: Performance Analysis of Structural Steel Strengthening Systems","This is one in a series of publications that were developed in response to September 11, 2001, terrorist attacks on the New York World Trade Center and the subsequent events that led to the formation of DHS and an increased emphasis on preparedness and mitigation of terrorism-related hazards. One issue that FEMA began shortly after that was to examine whether lessons learned in response to natural hazards could be effectively applied to protect building occupants from human threats. Important similarities between seismic and blast loadings lend themselves to such examination.","Download File","FEMA 439B, Blast-Resistant Benefits of Seismic Design, Phase 2 Study: Performance Analysis of Structural Steel Strengthening Systems
    This is one in a series of publications that were developed in response to September 11, 2001, terrorist attacks on the New York World Trade Center and the subsequent events that led to the formation of DHS and an increased emphasis on preparedness and mitigation of terrorism-related hazards. One issue that FEMA began shortly after that was to examine whether lessons learned in response to natural hazards could be effectively applied to protect building occupants from human threats. Important similarities between seismic and blast loadings lend themselves to such examination.
    
      
        Sep 2, 2021

      Download File","Building Science, Other Hazards, Earthquake, Human Cause, Terrorist","Building Professionals & Engineers",Publication
"FEMA 445, Next-Generation Performance-Based Seismic Design Guidelines: Program Plan for New and Existing Buildings","This publication is a step-by-step program plan for the current FEMA project with the Applied Technology Council to develop next-generation performance-based seismic design procedures and guidelines for structural and nonstructural components in new and existing buildings. This plan offers a background on current code design procedures, introduces performance-based seismic design concepts, identifies improvements needed in current seismic design practice, and outlines the tasks and projected costs for a two-phase program to develop next-generation performance-based seismic design procedures and guidelines.","Download File","FEMA 445, Next-Generation Performance-Based Seismic Design Guidelines: Program Plan for New and Existing Buildings
    This publication is a step-by-step program plan for the current FEMA project with the Applied Technology Council to develop next-generation performance-based seismic design procedures and guidelines for structural and nonstructural components in new and existing buildings. This plan offers a background on current code design procedures, introduces performance-based seismic design concepts, identifies improvements needed in current seismic design practice, and outlines the tasks and projected costs for a two-phase program to develop next-generation performance-based seismic design procedures and guidelines.

    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 450, NEHRP Recommended Provisions and Commentary for Seismic Regulations for New Buildings and Other Structures. 2003 Edition","The 2003 edition has been superseded by the 2009 edition (FEMA P-750). The 2003 edition can be used as a resource document for design professionals, local building officials, and federal regulatory agencies whose technical design standards or code requirements refer to this edition of the Provisions. The 2003 edition present criteria for the design and construction of new buildings, of additions and alterations to existing buildings, and of non-building structures to enable them to resist the effects of earthquake ground motions. The CD contains related seismic design maps, design map value calculation software, and previous Provisions (1997 and 2000). The 2000 edition (FEMA 368 and 369) and FEMA 451 and 451B are available online.","Download File","FEMA 450, NEHRP Recommended Provisions and Commentary for Seismic Regulations for New Buildings and Other Structures. 2003 Edition 
    The 2003 edition has been superseded by the 2009 edition (FEMA P-750). The 2003 edition can be used as a resource document for design professionals, local building officials, and federal regulatory agencies whose technical design standards or code requirements refer to this edition of the Provisions. The 2003 edition present criteria for the design and construction of new buildings, of additions and alterations to existing buildings, and of non-building structures to enable them to resist the effects of earthquake ground motions. The CD contains related seismic design maps, design map value calculation software, and previous Provisions (1997 and 2000). The 2000 edition (FEMA 368 and 369) and FEMA 451 and 451B are available online.
    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 451, NEHRP Recommended Provisions: Design Examples","This publication provides a series of design examples using the 2003 edition of the NEHRP Recommended Provisions (FEMA 450) for different types of construction materials and building configurations. These design examples demonstrate the design procedures used in the NEHRP Recommended Provisions, which serve as the basis for the nation’s building codes, and make an excellent training tool. Instructional materials (FEMA 451B) are also available for use with this publication.","Download File","FEMA 451, NEHRP Recommended Provisions: Design Examples 
    This publication provides a series of design examples using the 2003 edition of the NEHRP Recommended Provisions (FEMA 450) for different types of construction materials and building configurations. These design examples demonstrate the design procedures used in the NEHRP Recommended Provisions, which serve as the basis for the nation’s building codes, and make an excellent training tool. Instructional materials (FEMA 451B) are also available for use with this publication.


    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 454, Risk Management Series: Designing for Earthquakes - A Manual for Architects","Currently no single publication exists that provides up-to-date information necessary to architects, presented in a form that is attractive, readable, and intelligible to a non-specialist audience. This revised publication will fill that gap. The present publication consists of a series of chapters that provide the foundation for an understanding of seismic design, each authored by an expert in the field. The authors were given freedom to decide the scope of their chapters; and thus this publication represents expert opinion rather than consensus. Designing for Earthquakes: a Manual for Architects is intended to explain the principles of seismic design for those without a technical background in engineering and seismology. The primary intended audience is that of architects and includes practicing architects, architectural students, and faculty in architectural schools who teach structures and seismic design.","Download File","FEMA 454, Risk Management Series: Designing for Earthquakes - A Manual for Architects
    Currently no single publication exists that provides up-to-date information necessary to architects, presented in a form that is attractive, readable, and intelligible to a non-specialist audience. This revised publication will fill that gap. The present publication consists of a series of chapters that provide the foundation for an understanding of seismic design, each authored by an expert in the field. The authors were given freedom to decide the scope of their chapters; and thus this publication represents expert opinion rather than consensus. Designing for Earthquakes: a Manual for Architects is intended to explain the principles of seismic design for those without a technical background in engineering and seismology. The primary intended audience is that of architects and includes practicing architects, architectural students, and faculty in architectural schools who teach structures and seismic design.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",
"FEMA 460, Seismic Considerations for Steel Storage Racks Located in Areas Accessible to the Public","This report highlights issues for consideration in the seismic design, installation, ongoing inspection, maintenance, and use of steel single selective pallet storage racks located in areas of retail warehouse stores and other facilities accessible to the general public. Included are a review of the performance of storage racks in past earthquakes; a history of the development of codes and standards used for storage rack design and current storage rack design practices; guidance on recommended performance goals and design requirements for storage racks; guidelines for implementation/responsibilities associated with the specification, procurement, and installation of pallet storage racks; suggested guidance for securing contents; recommendations for operations and use; suggested guidance for quality assurance programs; a discussion of current and past storage rack research and testing; suggestions for post-earthquake inspections; and proposed modifications to seismic design provisions and standards for racks.","Download File","FEMA 460, Seismic Considerations for Steel Storage Racks Located in Areas Accessible to the Public
    This report highlights issues for consideration in the seismic design, installation, ongoing inspection, maintenance, and use of steel single selective pallet storage racks located in areas of retail warehouse stores and other facilities accessible to the general public. Included are a review of the performance of storage racks in past earthquakes; a history of the development of codes and standards used for storage rack design and current storage rack design practices; guidance on recommended performance goals and design requirements for storage racks; guidelines for implementation/responsibilities associated with the specification, procurement, and installation of pallet storage racks; suggested guidance for securing contents; recommendations for operations and use; suggested guidance for quality assurance programs; a discussion of current and past storage rack research and testing; suggestions for post-earthquake inspections; and proposed modifications to seismic design provisions and standards for racks.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Private Sector Partnership",Publication
"FEMA 461, Interim Testing Protocols for Determining the Seismic Performance Characteristics of Structural and Nonstructural Components","This publication provides methodologies to measure the seismic performance of buildings’ structural or nonstructural components in a consistent and comparable manner. It describes two laboratory testing protocols that determine fragility functions for various building systems and components. The first protocol, Quasi-Static Cyclic Testing of Structural and Nonstructural Components and Systems, can be used to test elements whose behavior is sensitive to the relative motion of several floors or vertical connections within a building. The second protocol, Shake Table Testing of Structural and Nonstructural Components and Systems, is designed for testing elements that are sensitive to the dynamic effects of motion imparted at a single point of attachment. Although these protocols are intended as interim methods that will be finalized over time as they are used and evaluated by researchers nationwide, they are nevertheless a significant step forward in the development of performance-based seismic design.","Download File","FEMA 461, Interim Testing Protocols for Determining the Seismic Performance Characteristics of Structural and Nonstructural Components
    This publication provides methodologies to measure the seismic performance of buildings’ structural or nonstructural components in a consistent and comparable manner. It describes two laboratory testing protocols that determine fragility functions for various building systems and components. The first protocol, Quasi-Static Cyclic Testing of Structural and Nonstructural Components and Systems, can be used to test elements whose behavior is sensitive to the relative motion of several floors or vertical connections within a building. The second protocol, Shake Table Testing of Structural and Nonstructural Components and Systems, is designed for testing elements that are sensitive to the dynamic effects of motion imparted at a single point of attachment. Although these protocols are intended as interim methods that will be finalized over time as they are used and evaluated by researchers nationwide, they are nevertheless a significant step forward in the development of performance-based seismic design.

    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 474, Promoting Seismic Safety: Guidance for Advocates","This booklet offers research-based advice to assist seismic safety advocates in presenting risk reduction information and ideas. The full-version of Promoting Seismic Safety: Guidance for Advocates is a 200-plus page report that consists of two parts. PDF files are available for downloaded from the MCEER website at http://mceer.buffalo.edu/publications/tricenter/04-SP02/default.asp. Part One is this guidance document for advocates. Part Two is a set of background papers developed by the authors as part of the project.","Download File","FEMA 474, Promoting Seismic Safety: Guidance for Advocates
    This booklet offers research-based advice to assist seismic safety advocates in presenting risk reduction information and ideas. The full-version of Promoting Seismic Safety: Guidance for Advocates is a 200-plus page report that consists of two parts. PDF files are available for downloaded from the MCEER website at http://mceer.buffalo.edu/publications/tricenter/04-SP02/default.asp. Part One is this guidance document for advocates. Part Two is a set of background papers developed by the authors as part of the project.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Publication
"FEMA 527,  Earthquake Safety Activities for Children and Teachers","This updated publication provides elementary school teachers with ready-to-use, hands-on activities that explain what happens during an earthquake, how to prepare for earthquake shaking, and how to stay safe during and after an earthquake. Included are a variety of handouts for students, including maps, songs, “hazard hunt” worksheets, and earthquake safety checklists.","Download File","FEMA 527,  Earthquake Safety Activities for Children and Teachers
    This updated publication provides elementary school teachers with ready-to-use, hands-on activities that explain what happens during an earthquake, how to prepare for earthquake shaking, and how to stay safe during and after an earthquake. Included are a variety of handouts for students, including maps, songs, “hazard hunt” worksheets, and earthquake safety checklists.

    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Teachers & Kids",Publication
"FEMA 531, The Adventures of Terry the Turtle and Gracie the Wonder Dog","This storybook for children in grades 3-6 relates the adventures of the safety-conscious mayor of Shakeyville (Terry the Turtle) and a group of safety volunteers who meet with students at the local elementary school to teach them about earthquake safety. The students discover the importance of earthquake safety and preparedness. Included are suggestions for creating a disaster kit, illustrations of what to do if an earthquake happens (Drop, Cover, and Hold), and a list of resources.","Download File","FEMA 531, The Adventures of Terry the Turtle and Gracie the Wonder Dog
    This storybook for children in grades 3-6 relates the adventures of the safety-conscious mayor of Shakeyville (Terry the Turtle) and a group of safety volunteers who meet with students at the local elementary school to teach them about earthquake safety. The students discover the importance of earthquake safety and preparedness. Included are suggestions for creating a disaster kit, illustrations of what to do if an earthquake happens (Drop, Cover, and Hold), and a list of resources.

    
      
        Nov 4, 2021

      Download File","Building Science, Earthquake","Teachers & Kids",Publication
"FEMA 543, Design Guide for Improving Critical Facility Safety from Flooding and High Winds: Providing Protection to People and Buildings","To aid in the reconstruction of the Gulf Coast in the wake of Hurricane Katrina, this manual presents an overview of the principal planning and design considerations for improving the performance of critical facilities during, and in the aftermath of, flooding and high-wind events. It provides design guidance and practical recommendations for protecting critical facilities and their occupants against these natural hazards. The focus is on the design for new construction, but this manual also addresses rehabilitation of existing critical facilities. It presents incremental approaches that can be implemented over time to decrease the vulnerability of buildings, but emphasizes the importance of incorporating the requirements for mitigation against flooding and high winds into the planning and design of critical facilities from the very beginning of the process.","Download File","FEMA 543, Design Guide for Improving Critical Facility Safety from Flooding and High Winds: Providing Protection to People and Buildings
    To aid in the reconstruction of the Gulf Coast in the wake of Hurricane Katrina, this manual presents an overview of the principal planning and design considerations for improving the performance of critical facilities during, and in the aftermath of, flooding and high-wind events. It provides design guidance and practical recommendations for protecting critical facilities and their occupants against these natural hazards. The focus is on the design for new construction, but this manual also addresses rehabilitation of existing critical facilities. It presents incremental approaches that can be implemented over time to decrease the vulnerability of buildings, but emphasizes the importance of incorporating the requirements for mitigation against flooding and high winds into the planning and design of critical facilities from the very beginning of the process.
    
      
        Nov 10, 2021

      Download File","Building Science, High Winds, Flood","Building Professionals & Engineers",Publication
"FEMA 547, Techniques for the Seismic Rehabilitation of Existing Buildings P-547","This seismic rehabilitation techniques document is part of the National Earthquake Hazards Reduction Program (NEHRP) family of publications addressing seismic rehabilitation of existing buildings. It describes common seismic rehabilitation techniques used for buildings represented in the set of standard building types in FEMA seismic publications. This document supersedes FEMA 172, NEHRP Handbook of Techniques for the Seismic Rehabilitation of Existing Buildings, which was published in 1992. Since then, many rehabilitation techniques have been developed and used for repair and rehabilitation of earthquake-damaged and seismically deficient buildings.","Download File","FEMA 547, Techniques for the Seismic Rehabilitation of Existing Buildings P-547
    This seismic rehabilitation techniques document is part of the National Earthquake Hazards Reduction Program (NEHRP) family of publications addressing seismic rehabilitation of existing buildings. It describes common seismic rehabilitation techniques used for buildings represented in the set of standard building types in FEMA seismic publications. This document supersedes FEMA 172, NEHRP Handbook of Techniques for the Seismic Rehabilitation of Existing Buildings, which was published in 1992. Since then, many rehabilitation techniques have been developed and used for repair and rehabilitation of earthquake-damaged and seismically deficient buildings.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA 548, Summary Report on Building Performance: Hurricane Katrina 2005","In the weeks following Hurricane Katrina, a Mitigation Assessment Team (MAT) was deployed to the affected Gulf Coast areas to assess the performance of buildings. Based on the observed damage, the MAT also evaluated the adequacy of current building codes and provided suggestions to update the codes.","Download File","FEMA 548, Summary Report on Building Performance: Hurricane Katrina 2005
    In the weeks following Hurricane Katrina, a Mitigation Assessment Team (MAT) was deployed to the affected Gulf Coast areas to assess the performance of buildings. Based on the observed damage, the MAT also evaluated the adequacy of current building codes and provided suggestions to update the codes.
    
      
        Apr 15, 2021

      Download File","Building Science, High Winds, Hurricane","Community Planning & Policy",Publication
"FEMA 551, Selecting Appropriate Mitigation Measures for Floodprone Structures","This manual is intended to provide guidance to community officials for developing mitigation projects that reduce or eliminate identified risks for floodprone structures.","Download File","FEMA 551, Selecting Appropriate Mitigation Measures for Floodprone Structures
    This manual is intended to provide guidance to community officials for developing mitigation projects that reduce or eliminate identified risks for floodprone structures.

    
      
        Mar 24, 2021

      Download File","Building Science, Hurricane","Community Planning & Policy",Publication
"FEMA 577, Design Guide for Improving Hospital Safety in Earthquakes, Floods, and High Winds: Providing Protection to People and Buildings","The intent of the Design Guide is to provide its audience with state-of-the-art knowledge on the variety of vulnerabilities faced by hospitals exposed to earthquakes, flooding, and high-winds risks, as well as the best ways to mitigate the risk of damage and disruption of hospital operations caused by these events. The information presented in this publication provides an exhaustive review of mitigation measures and design solutions that can improve the safety of hospitals in natural hazard events. However, this publication is not intended to be a comprehensive mitigation design manual that the reader can use to develop actual plans and specifications. It is intended as an introduction to the fundamental principles of natural hazard risk reduction, with an emphasis on mitigation planning and the design of hospital buildings.","Download File","FEMA 577, Design Guide for Improving Hospital Safety in Earthquakes, Floods, and High Winds: Providing Protection to People and Buildings
    The intent of the Design Guide is to provide its audience with state-of-the-art knowledge on the variety of vulnerabilities faced by hospitals exposed to earthquakes, flooding, and high-winds risks, as well as the best ways to mitigate the risk of damage and disruption of hospital operations caused by these events. The information presented in this publication provides an exhaustive review of mitigation measures and design solutions that can improve the safety of hospitals in natural hazard events. However, this publication is not intended to be a comprehensive mitigation design manual that the reader can use to develop actual plans and specifications. It is intended as an introduction to the fundamental principles of natural hazard risk reduction, with an emphasis on mitigation planning and the design of hospital buildings.
    
      
        Nov 9, 2021

      Download File","Building Science, Earthquake, Flood","Building Professionals & Engineers",Publication
"FEMA 68, Earthquake Insurance: A Public Policy Dilemma","This report examines issues and problems associated with the availability and procurement of earthquake insurance from the point of view of consumers and providers. The report outlines the provisions of earthquake insurance policies currently available to homeowners, businesses, local governments, and special districts. It examines the extent to which earthquake insurance is purchased and why it may be unattractive to consumers. The federal role in providing or promoting earthquake insurance is reviewed. Policies are recommended for the Federal Government and others to develop a more adequate system of coverage.

The compressed file contains the PDF file and a text file for use with screen readers.","Download File","FEMA 68, Earthquake Insurance: A Public Policy Dilemma
    This report examines issues and problems associated with the availability and procurement of earthquake insurance from the point of view of consumers and providers. The report outlines the provisions of earthquake insurance policies currently available to homeowners, businesses, local governments, and special districts. It examines the extent to which earthquake insurance is purchased and why it may be unattractive to consumers. The federal role in providing or promoting earthquake insurance is reviewed. Policies are recommended for the Federal Government and others to develop a more adequate system of coverage.

The compressed file contains the PDF file and a text file for use with screen readers.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Publication
"FEMA 83, Seismic Considerations for Communities at Risk (1995)","This publication is a companion volume to the 1994 edition of NEHRP Recommended Provisions for Seismic Regulations for New Buildings. The publication provides individuals and community decision-makers with information to assess seismic risk, make informed decisions about seismic safety in their communities, and determine what can be done to mitigate risk. The publication includes information on the scope of earthquake risk in the U.S., the effects of earthquakes on buildings, how design can reduce earthquake effects, and the importance of seismic codes and the NEHRP Provisions. Also included are factors to consider when deciding whether and how to take action to reduce earthquake risk and suggestions for stimulating community action.

The compressed file contains the PDF document and a text file for use with screen readers.","Download File","FEMA 83, Seismic Considerations for Communities at Risk (1995)
    This publication is a companion volume to the 1994 edition of NEHRP Recommended Provisions for Seismic Regulations for New Buildings. The publication provides individuals and community decision-makers with information to assess seismic risk, make informed decisions about seismic safety in their communities, and determine what can be done to mitigate risk. The publication includes information on the scope of earthquake risk in the U.S., the effects of earthquakes on buildings, how design can reduce earthquake effects, and the importance of seismic codes and the NEHRP Provisions. Also included are factors to consider when deciding whether and how to take action to reduce earthquake risk and suggestions for stimulating community action.

The compressed file contains the PDF document and a text file for use with screen readers.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Publication
"FEMA 84, Societal Implications: Selected Readings","These selected readings provide participants in the building process at the local, State, and regional levels with information on the most significant societal implications of adopting new or improved seismic regulations for new buildings. Included are papers on the estimated impact of the NEHRP Recommended Provisions on design and construction costs, seismic hazards in various areas of the U.S., seismic safety codes, current seismic hazard mitigation practices and programs, and recent seismic safety policy research. The book also contains an extensive bibliography, a list of information sources, and a glossary of terms.

The compressed file contains the PDF file and a text file for use with screen readers.","Download File","FEMA 84, Societal Implications: Selected Readings
    These selected readings provide participants in the building process at the local, State, and regional levels with information on the most significant societal implications of adopting new or improved seismic regulations for new buildings. Included are papers on the estimated impact of the NEHRP Recommended Provisions on design and construction costs, seismic hazards in various areas of the U.S., seismic safety codes, current seismic hazard mitigation practices and programs, and recent seismic safety policy research. The book also contains an extensive bibliography, a list of information sources, and a glossary of terms.

The compressed file contains the PDF file and a text file for use with screen readers.
    
      
        May 12, 2021

      Download File","Building Science, Earthquake","Community Planning & Policy",Publication
"FEMA Building Codes Summer Activity Sheet","FEMA has created this activity sheet intended to inform and engage children about building codes.","Download File","FEMA Building Codes Summer Activity Sheet
    FEMA has created this activity sheet intended to inform and engage children about building codes.
    
      
        Oct 11, 2024

      Download File","Building Science",,
"FEMA Building Science Resources to Assist with Reconstruction After a Hurricane (English & Spanish)","FEMA has produced numerous publications detailing best practices for natural hazard mitigation associated with hurricane impacts. This flyer summarizes a few of the readily available publications and resources that can be used by homeowners as well as design and construction professionals during reconstruction following hurricanes.","Download File","FEMA Building Science Resources to Assist with Reconstruction After a Hurricane (English & Spanish)
     FEMA has produced numerous publications detailing best practices for natural hazard mitigation associated with hurricane impacts. This flyer summarizes a few of the readily available publications and resources that can be used by homeowners as well as design and construction professionals during reconstruction following hurricanes.
    
      
        Jan 26, 2024

      Download File","Disaster Support Program (MAT) Library, General, Building Science, Flood, High Winds, Hurricane, Mitigation Assessment Team","Building Professionals & Engineers","Flyer, MAT Product"
"FEMA Building Science Resources to Assist with Reconstruction After an Extreme-Wind Event","FEMA has produced numerous publications detailing best practices for natural hazard mitigation associated with extreme-wind impacts. This Fact Sheet summarizes a few of the readily available publications and resources that can be used by homeowners, as well as design and construction professionals, during reconstruction following extreme-wind events.","Download File","FEMA Building Science Resources to Assist with Reconstruction After an Extreme-Wind Event
    FEMA has produced numerous publications detailing best practices for natural hazard mitigation associated with extreme-wind impacts. This Fact Sheet summarizes a few of the readily available publications and resources that can be used by homeowners, as well as design and construction professionals, during reconstruction following extreme-wind events.
    
      
        Apr 14, 2023

      Download File","Coastal Construction, Hurricane Wind Retrofit, Retrofit, Retrofitting and Floodproofing Structures, Building Science, High Winds, Retrofitting single-family residences, Safe Room, Earthquake, Hurricane, Tornado","Individuals & Homeowners","Fact Sheet"
"FEMA Building Science Training and Workshops for Hurricanes","The Federal Emergency Management Agency (FEMA) Building Science Branch has developed numerous training courses and workshops to provide information to communities and homeowners on how to build stronger and minimize damage from natural disasters. A few FEMA training courses and workshops may be useful as communities begin to rebuild after a hurricane. Most of these courses use a published manual as their basis. For more information or to inquire about one of these training sessions, please contact us at FEMA-BuildingScienceHelp@fema.dhs.gov or 866-927-2104. The published manuals can be obtained from http://www.fema.gov/building-science.","Download File","FEMA Building Science Training and Workshops for Hurricanes
    The Federal Emergency Management Agency (FEMA) Building Science Branch has developed numerous training courses and workshops to provide information to communities and homeowners on how to build stronger and minimize damage from natural disasters. A few FEMA training courses and workshops may be useful as communities begin to rebuild after a hurricane. Most of these courses use a published manual as their basis. For more information or to inquire about one of these training sessions, please contact us at FEMA-BuildingScienceHelp@fema.dhs.gov or 866-927-2104. The published manuals can be obtained from http://www.fema.gov/building-science.
    
      
        Mar 24, 2021

      Download File","Building Science, Hurricane","Community Planning & Policy",Flyer
"FEMA E-74, Reducing the Risks of Nonstructural Earthquake Damage—A Practical Guide  (Fourth Edition)","The purpose of this version of FEMA 74, FEMA E-74 Reducing the Risks of Nonstructural Earthquake Damage—A Practical Guide, Fourth Edition, is the same as for the original: to explain the sources of nonstructural earthquake damage in simple terms and to provide methods for reducing potential risks. Since nonstructural failures have accounted for the majority of earthquake damage in several recent U.S. earthquakes, it is critical to raise awareness of potential nonstructural risks, the costly consequences of nonstructural failures, and the opportunities that exist to limit future losses.

This fourth edition of the FEMA 74 document (renamed FEMA E-74) explains the sources of earthquake damage that can occur in nonstructural components and provides information on effective methods for reducing risk associated with nonstructural earthquake damage.","Download File","FEMA E-74, Reducing the Risks of Nonstructural Earthquake Damage—A Practical Guide  (Fourth Edition)
    The purpose of this version of FEMA 74, FEMA E-74 Reducing the Risks of Nonstructural Earthquake Damage—A Practical Guide, Fourth Edition, is the same as for the original: to explain the sources of nonstructural earthquake damage in simple terms and to provide methods for reducing potential risks. Since nonstructural failures have accounted for the majority of earthquake damage in several recent U.S. earthquakes, it is critical to raise awareness of potential nonstructural risks, the costly consequences of nonstructural failures, and the opportunities that exist to limit future losses.

This fourth edition of the FEMA 74 document (renamed FEMA E-74) explains the sources of earthquake damage that can occur in nonstructural components and provides information on effective methods for reducing risk associated with nonstructural earthquake damage.

    
      
        Sep 2, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA Highlights of ICC 500-2023",,"Download File","FEMA Highlights of ICC 500-2023
    
    
      
        Jan 13, 2025

      Download File","Building Science, High Winds, Hurricane, Safe Room","Building Professionals & Engineers, Individuals & Homeowners","Fact Sheet"
